.,areaID,. http://basicURL,site,. site name 1,. site name 2,. state province ...,*. main category,. activeURL
loz,695,http://loz.craigslist.org,loz,lake of the ozarks,lake of the ozarks,Missouri,*US*,loz.craigslist.org
smo,566,http://semo.craigslist.org,semo,southeast missouri,southeast missouri,Missouri,*US*,semo.craigslist.org
sgf,221,http://springfield.craigslist.org,springfield,springfield,"springfield, MO",Missouri,*US*,springfield.craigslist.org
stj,694,http://stjoseph.craigslist.org,stjoseph,st joseph,st joseph,Missouri,*US*,stjoseph.craigslist.org
stl,29,http://stlouis.craigslist.org,stlouis,st louis,"st louis, MO",Missouri,*US*,stlouis.craigslist.org
bil,657,http://billings.craigslist.org,billings,billings,billings,Montana,*US*,billings.craigslist.org
bzn,658,http://bozeman.craigslist.org,bozeman,bozeman,bozeman,Montana,*US*,bozeman.craigslist.org
btm,661,http://butte.craigslist.org,butte,butte,butte,Montana,*US*,butte.craigslist.org
gtf,660,http://greatfalls.craigslist.org,greatfalls,great falls,great falls,Montana,*US*,greatfalls.craigslist.org
hln,659,http://helena.craigslist.org,helena,helena,helena,Montana,*US*,helena.craigslist.org
fca,662,http://kalispell.craigslist.org,kalispell,kalispell,kalispell,Montana,*US*,kalispell.craigslist.org
mso,656,http://missoula.craigslist.org,missoula,missoula,missoula,Montana,*US*,missoula.craigslist.org
mnt,192,http://montana.craigslist.org,montana,montana (old),montana (old),Montana,*US*,montana.craigslist.org
gil,432,http://grandisland.craigslist.org,grandisland,grand island,grand island,Nebraska,*US*,grandisland.craigslist.org
lnk,282,http://lincoln.craigslist.org,lincoln,lincoln,lincoln,Nebraska,*US*,lincoln.craigslist.org
lbf,668,http://northplatte.craigslist.org,northplatte,north platte,north platte,Nebraska,*US*,northplatte.craigslist.org
oma,55,http://omaha.craigslist.org,omaha,omaha / council bluffs,omaha / council bluffs,Nebraska,*US*,omaha.craigslist.org
bff,669,http://scottsbluff.craigslist.org,scottsbluff,scottsbluff / panhandle,scottsbluff / panhandle,Nebraska,*US*,scottsbluff.craigslist.org
elk,652,http://elko.craigslist.org,elko,elko,elko,Nevada,*US*,elko.craigslist.org
lvg,26,http://lasvegas.craigslist.org,lasvegas,las vegas,las vegas,Nevada,*US*,lasvegas.craigslist.org
rno,92,http://reno.craigslist.org,reno,reno / tahoe,reno / tahoe,Nevada,*US*,reno.craigslist.org
nhm,198,http://nh.craigslist.org,nh,new hampshire,new hampshire,New Hampshire,*US*,nh.craigslist.org
cnj,349,http://cnj.craigslist.org,cnj,central NJ,central NJ,New Jersey,*US*,cnj.craigslist.org
jys,561,http://jerseyshore.craigslist.org,jerseyshore,jersey shore,jersey shore,New Jersey,*US*,jerseyshore.craigslist.org
njy,170,http://newjersey.craigslist.org,newjersey,north jersey,north jersey,New Jersey,*US*,newjersey.craigslist.org
snj,286,http://southjersey.craigslist.org,southjersey,south jersey,south jersey,New Jersey,*US*,southjersey.craigslist.org
abq,50,http://albuquerque.craigslist.org,albuquerque,albuquerque,albuquerque,New Mexico,*US*,albuquerque.craigslist.org
cvn,653,http://clovis.craigslist.org,clovis,clovis / portales,clovis / portales,New Mexico,*US*,clovis.craigslist.org
fnm,568,http://farmington.craigslist.org,farmington,farmington,"farmington, NM",New Mexico,*US*,farmington.craigslist.org
lcr,334,http://lascruces.craigslist.org,lascruces,las cruces,las cruces,New Mexico,*US*,lascruces.craigslist.org
row,420,http://roswell.craigslist.org,roswell,roswell / carlsbad,roswell / carlsbad,New Mexico,*US*,roswell.craigslist.org
saf,218,http://santafe.craigslist.org,santafe,santa fe / taos,santa fe / taos,New Mexico,*US*,santafe.craigslist.org
alb,59,http://albany.craigslist.org,albany,albany,albany,New York,*US*,albany.craigslist.org
bgm,248,http://binghamton.craigslist.org,binghamton,binghamton,binghamton,New York,*US*,binghamton.craigslist.org
buf,40,http://buffalo.craigslist.org,buffalo,buffalo,buffalo,New York,*US*,buffalo.craigslist.org
cat,451,http://catskills.craigslist.org,catskills,catskills,catskills,New York,*US*,catskills.craigslist.org
chq,452,http://chautauqua.craigslist.org,chautauqua,chautauqua,chautauqua,New York,*US*,chautauqua.craigslist.org
elm,453,http://elmira.craigslist.org,elmira,elmira-corning,elmira-corning,New York,*US*,elmira.craigslist.org
fgl,685,http://fingerlakes.craigslist.org,fingerlakes,finger lakes,finger lakes,New York,*US*,fingerlakes.craigslist.org
gfl,686,http://glensfalls.craigslist.org,glensfalls,glens falls,glens falls,New York,*US*,glensfalls.craigslist.org
hud,249,http://hudsonvalley.craigslist.org,hudsonvalley,hudson valley,hudson valley,New York,*US*,hudsonvalley.craigslist.org
ith,201,http://ithaca.craigslist.org,ithaca,ithaca,ithaca,New York,*US*,ithaca.craigslist.org
isp,250,http://longisland.craigslist.org,longisland,long island,long island,New York,*US*,longisland.craigslist.org
nyc,3,http://newyork.craigslist.org,newyork,new york city,new york city,New York,*US*,newyork.craigslist.org
onh,684,http://oneonta.craigslist.org,oneonta,oneonta,oneonta,New York,*US*,oneonta.craigslist.org
plb,338,http://plattsburgh.craigslist.org,plattsburgh,plattsburgh-adirondacks,plattsburgh-adirondacks,New York,*US*,plattsburgh.craigslist.org
ptd,683,http://potsdam.craigslist.org,potsdam,potsdam-canton-massena,potsdam-canton-massena,New York,*US*,potsdam.craigslist.org
rcs,126,http://rochester.craigslist.org,rochester,rochester,"rochester, NY",New York,*US*,rochester.craigslist.org
syr,130,http://syracuse.craigslist.org,syracuse,syracuse,syracuse,New York,*US*,syracuse.craigslist.org
tts,704,http://twintiers.craigslist.org,twintiers,twin tiers NY/PA,twin tiers NY/PA,New York,*US*,twintiers.craigslist.org
uti,247,http://utica.craigslist.org,utica,utica-rome-oneida,utica-rome-oneida,New York,*US*,utica.craigslist.org
wtn,337,http://watertown.craigslist.org,watertown,watertown,watertown,New York,*US*,watertown.craigslist.org
ash,171,http://asheville.craigslist.org,asheville,asheville,asheville,North Carolina,*US*,asheville.craigslist.org
bnc,446,http://boone.craigslist.org,boone,boone,boone,North Carolina,*US*,boone.craigslist.org
cha,41,http://charlotte.craigslist.org,charlotte,charlotte,charlotte,North Carolina,*US*,charlotte.craigslist.org
enc,335,http://eastnc.craigslist.org,eastnc,eastern NC,eastern NC,North Carolina,*US*,eastnc.craigslist.org
fay,273,http://fayetteville.craigslist.org,fayetteville,fayetteville,fayetteville,North Carolina,*US*,fayetteville.craigslist.org
gbo,61,http://greensboro.craigslist.org,greensboro,greensboro,greensboro,North Carolina,*US*,greensboro.craigslist.org
hky,462,http://hickory.craigslist.org,hickory,hickory / lenoir,hickory / lenoir,North Carolina,*US*,hickory.craigslist.org
oaj,634,http://onslow.craigslist.org,onslow,jacksonville,"jacksonville, NC",North Carolina,*US*,onslow.craigslist.org
obx,336,http://outerbanks.craigslist.org,outerbanks,outer banks,outer banks,North Carolina,*US*,outerbanks.craigslist.org
ral,36,http://raleigh.craigslist.org,raleigh,raleigh / durham / CH,raleigh / durham / CH,North Carolina,*US*,raleigh.craigslist.org
wnc,274,http://wilmington.craigslist.org,wilmington,wilmington,"wilmington, NC",North Carolina,*US*,wilmington.craigslist.org
wsl,272,http://winstonsalem.craigslist.org,winstonsalem,winston-salem,winston-salem,North Carolina,*US*,winstonsalem.craigslist.org
bis,666,http://bismarck.craigslist.org,bismarck,bismarck,bismarck,North Dakota,*US*,bismarck.craigslist.org
far,435,http://fargo.craigslist.org,fargo,fargo / moorhead,fargo / moorhead,North Dakota,*US*,fargo.craigslist.org
gfk,667,http://grandforks.craigslist.org,grandforks,grand forks,grand forks,North Dakota,*US*,grandforks.craigslist.org
ndk,196,http://nd.craigslist.org,nd,north dakota,north dakota,North Dakota,*US*,nd.craigslist.org
cak,251,http://akroncanton.craigslist.org,akroncanton,akron / canton,akron / canton,Ohio,*US*,akroncanton.craigslist.org
jfn,700,http://ashtabula.craigslist.org,ashtabula,ashtabula,ashtabula,Ohio,*US*,ashtabula.craigslist.org
ohu,438,http://athensohio.craigslist.org,athensohio,athens,"athens, OH",Ohio,*US*,athensohio.craigslist.org
