.,areaID,site,Location,State
ame,445,ames,ames,Iowa
ced,340,cedarrapids,cedar rapids,Iowa
dsm,98,desmoines,des moines,Iowa
dbq,362,dubuque,dubuque,Iowa
ftd,693,fortdodge,fort dodge,Iowa
iac,339,iowacity,iowa city,Iowa
msc,692,masoncity,mason city,Iowa
mli,307,quadcities,quad cities,Iowa
sux,341,siouxcity,sioux city,Iowa
otu,691,ottumwa,southeast IA,Iowa
wlo,567,waterloo,waterloo / cedar falls,Iowa
lwr,347,lawrence,lawrence,Kansas
mhk,428,ksu,manhattan,Kansas
nwk,688,nwks,northwest KS,Kansas
sns,690,salina,salina,Kansas
sek,689,seks,southeast KS,Kansas
swk,687,swks,southwest KS,Kansas
tpk,280,topeka,topeka,Kansas
wic,99,wichita,wichita,Kansas
blg,342,bgky,bowling green,Kentucky
eky,674,eastky,eastern kentucky,Kentucky
lex,133,lexington,lexington,Kentucky
lou,58,louisville,louisville,Kentucky
owb,673,owensboro,owensboro,Kentucky
wky,377,westky,western KY,Kentucky
btr,199,batonrouge,baton rouge,Louisiana
aex,644,cenla,central louisiana,Louisiana
hum,643,houma,houma,Louisiana
lft,283,lafayette,lafayette,Louisiana
lkc,284,lakecharles,lake charles,Louisiana
mlu,563,monroemi,monroe,Louisiana
nor,31,neworleans,new orleans,Louisiana
shv,206,shreveport,shreveport,Louisiana
mne,169,maine,maine,Maine
anp,460,annapolis,annapolis,Maryland
bal,34,baltimore,baltimore,Maryland
esh,328,easternshore,eastern shore,Maryland
fdk,633,frederick,frederick,Maryland
smd,556,smd,southern maryland,Maryland
wmd,329,westmd,western maryland,Maryland
bos,4,boston,boston,Massachusetts
cap,239,capecod,cape cod / islands,Massachusetts
sma,378,southcoast,south coast,Massachusetts
wma,173,westernmass,western massachusetts,Massachusetts
wor,240,worcester,worcester / central MA,Massachusetts
aaa,172,annarbor,ann arbor,Michigan
btc,628,battlecreek,battle creek,Michigan
cmu,434,centralmich,central michigan,Michigan
det,22,detroit,detroit metro,Michigan
fnt,259,flint,flint,Michigan
grr,129,grandrapids,grand rapids,Michigan
hld,630,holland,holland,Michigan
jxn,426,jxn,jackson,Michigan
kzo,261,kalamazoo,kalamazoo,Michigan
lan,212,lansing,lansing,Michigan
mnr,629,monroe,monroe,Michigan
mkg,554,muskegon,muskegon,Michigan
nmi,309,nmi,northern michigan,Michigan
phn,555,porthuron,port huron,Michigan
mbs,260,saginaw,saginaw-midland-baycity,Michigan
swm,572,swmi,southwest michigan,Michigan
thb,627,thumb,the thumb,Michigan
yup,262,up,upper peninsula,Michigan
bji,663,bemidji,bemidji,Minnesota
brd,664,brainerd,brainerd,Minnesota
dlh,255,duluth,duluth / superior,Minnesota
mkt,421,mankato,mankato,Minnesota
min,19,minneapolis,minneapolis / st paul,Minnesota
rmn,316,rmn,rochester,Minnesota
mml,665,marshall,southwest MN,Minnesota
stc,369,stcloud,st cloud,Minnesota
gpt,230,gulfport,gulfport / biloxi,Mississippi
usm,374,hattiesburg,hattiesburg,Mississippi
jan,134,jackson,jackson,Mississippi
mei,641,meridian,meridian,Mississippi
nms,375,northmiss,north mississippi,Mississippi
hez,642,natchez,southwest MS,Mississippi
cou,222,columbiamo,columbia / jeff city,Missouri
jln,423,joplin,joplin,Missouri
ksc,30,kansascity,kansas city,Missouri
krk,696,kirksville,kirksville,Missouri
loz,695,loz,lake of the ozarks,Missouri
smo,566,semo,southeast missouri,Missouri
sgf,221,springfield,springfield,Missouri
stj,694,stjoseph,st joseph,Missouri
stl,29,stlouis,st louis,Missouri
bil,657,billings,billings,Montana
bzn,658,bozeman,bozeman,Montana
btm,661,butte,butte,Montana
gtf,660,greatfalls,great falls,Montana
hln,659,helena,helena,Montana
fca,662,kalispell,kalispell,Montana
mso,656,missoula,missoula,Montana
mnt,192,montana,montana (old),Montana
gil,432,grandisland,grand island,Nebraska
lnk,282,lincoln,lincoln,Nebraska
lbf,668,northplatte,north platte,Nebraska
oma,55,omaha,omaha / council bluffs,Nebraska
bff,669,scottsbluff,scottsbluff / panhandle,Nebraska
elk,652,elko,elko,Nevada
lvg,26,lasvegas,las vegas,Nevada
rno,92,reno,reno / tahoe,Nevada
nhm,198,nh,new hampshire,New Hampshire
cnj,349,cnj,central NJ,New Jersey
jys,561,jerseyshore,jersey shore,New Jersey
njy,170,newjersey,north jersey,New Jersey
snj,286,southjersey,south jersey,New Jersey
abq,50,albuquerque,albuquerque,New Mexico
cvn,653,clovis,clovis / portales,New Mexico
fnm,568,farmington,farmington,New Mexico
lcr,334,lascruces,las cruces,New Mexico
row,420,roswell,roswell / carlsbad,New Mexico
saf,218,santafe,santa fe / taos,New Mexico
alb,59,albany,albany,New York
bgm,248,binghamton,binghamton,New York
buf,40,buffalo,buffalo,New York
cat,451,catskills,catskills,New York
chq,452,chautauqua,chautauqua,New York
elm,453,elmira,elmira-corning,New York
fgl,685,fingerlakes,finger lakes,New York
gfl,686,glensfalls,glens falls,New York
hud,249,hudsonvalley,hudson valley,New York
ith,201,ithaca,ithaca,New York
isp,250,longisland,long island,New York
nyc,3,newyork,new york city,New York
onh,684,oneonta,oneonta,New York
plb,338,plattsburgh,plattsburgh-adirondacks,New York
ptd,683,potsdam,potsdam-canton-massena,New York
rcs,126,rochester,rochester,New York
